from_id,to_id,method,distance_km,time_min,cost_baht
13,15,driving-car,6.82,10.5,723.39
13,16,driving-car,1.93,3.8,351.83
13,17,driving-car,12.66,15.0,821.65
13,18,driving-car,8.79,12.8,746.95
13,19,driving-car,9.42,10.0,517.08
13,20,driving-car,51.76,43.0,630.66
13,21,driving-car,3.89,5.5,763.2
13,22,driving-car,3.98,5.6,627.65
13,23,driving-car,9.37,9.8,889.5
13,24,driving-car,51.02,38.0,990.32
13,25,driving-car,13.76,16.7,991.78
13,26,driving-car,13.28,15.7,718.18
13,27,driving-car,9.59,12.8,700.68
13,28,driving-car,8.8,9.4,979.69
13,29,driving-car,17.04,19.6,610.91
13,30,driving-car,10.72,12.7,324.15
13,31,driving-car,14.46,16.6,255.62
13,32,driving-car,17.87,17.4,933.21
13,33,driving-car,17.04,19.6,806.06
13,34,driving-car,25.16,25.4,943.45
13,35,driving-car,24.83,24.3,498.81
13,36,driving-car,4.86,5.6,287.82
13,37,driving-car,2.32,3.4,161.67
13,38,driving-car,8.89,10.3,506.81
13,39,driving-car,44.51,36.0,997.76
13,40,driving-car,44.73,36.0,821.72
13,41,driving-car,44.7,34.7,862.18
13,42,driving-car,2.38,3.6,962.71
13,43,driving-car,26.7,28.4,635.53
13,44,driving-car,45.17,36.3,935.03
13,45,driving-car,48.64,39.0,1207.23
14,1,driving-car,15.6,15.2,594.59
14,2,driving-car,32.99,34.2,932.3
14,3,driving-car,15.94,22.5,1016.21
14,4,driving-car,37.47,35.0,1262.83
14,5,driving-car,33.13,34.1,505.91
14,6,driving-car,48.27,41.3,1332.73
14,7,driving-car,75.28,63.5,1178.92
14,8,driving-car,21.64,22.9,514.04
14,9,driving-car,63.0,51.8,1038.72
14,10,driving-car,50.86,43.6,1402.84
14,11,driving-car,89.22,62.2,1318.67
14,12,driving-car,15.22,17.1,530.92
14,13,driving-car,7.55,11.8,752.63
14,15,driving-car,5.43,7.7,384.93
14,16,driving-car,5.97,10.4,240.59
14,17,driving-car,9.41,13.2,310.65
14,18,driving-car,4.59,7.1,278.58
14,19,driving-car,9.41,9.7,331.37
14,20,driving-car,56.53,51.3,693.94
14,21,driving-car,8.6,10.6,766.19
14,22,driving-car,7.55,9.2,346.26
14,23,driving-car,9.35,9.5,505.38
14,24,driving-car,55.79,46.4,1369.83
14,25,driving-car,10.1,13.5,625.77
14,26,driving-car,10.2,15.2,800.7
14,27,driving-car,9.58,12.5,350.86
14,28,driving-car,8.79,9.1,363.69
14,29,driving-car,17.02,19.3,284.42
14,30,driving-car,1.47,2.3,295.09
14,31,driving-car,14.44,16.3,480.31
14,32,driving-car,20.13,18.2,428.85
14,33,driving-car,17.02,19.3,327.47
14,34,driving-car,25.14,25.1,418.19
14,35,driving-car,24.82,24.1,721.76
14,36,driving-car,12.36,17.2,400.72
14,37,driving-car,6.22,10.9,501.77
14,38,driving-car,5.28,6.8,620.9
14,39,driving-car,49.28,44.3,1128.74
14,40,driving-car,49.5,44.3,544.63
14,41,driving-car,49.47,43.1,1228.47
14,42,driving-car,6.29,11.2,739.49
14,43,driving-car,31.93,38.0,437.52
14,44,driving-car,49.94,44.6,1299.21
14,45,driving-car,53.41,47.3,1371.27
15,1,driving-car,17.29,18.6,304.5
15,2,driving-car,31.39,31.8,608.81
15,3,driving-car,14.34,20.1,954.46
15,4,driving-car,35.86,32.6,1068.81
15,5,driving-car,34.82,37.5,553.13
15,6,driving-car,46.66,38.9,673.52
15,7,driving-car,73.68,61.1,1055.04
15,8,driving-car,20.03,20.5,704.81
15,9,driving-car,61.4,49.4,1167.53
15,10,driving-car,49.25,41.2,839.14
15,11,driving-car,79.81,61.7,1193.07
15,12,driving-car,13.61,14.7,896.49
15,13,driving-car,6.62,10.2,209.54
15,14,driving-car,5.44,7.8,396.05
15,16,driving-car,5.04,8.8,808.27
15,17,driving-car,14.33,18.1,1034.5
15,18,driving-car,3.08,6.9,614.03
15,19,driving-car,11.1,13.1,685.1
15,20,driving-car,54.92,48.9,651.77
15,21,driving-car,4.27,7.4,563.92
15,22,driving-car,3.22,6.0,633.79
15,23,driving-car,11.04,12.9,424.0
15,24,driving-car,54.18,43.9,791.35
15,25,driving-car,15.44,19.8,576.14
15,26,driving-car,14.96,18.8,251.28
15,27,driving-car,11.27,15.9,497.26
15,28,driving-car,10.47,12.5,392.09
15,29,driving-car,18.71,22.7,554.22
15,30,driving-car,6.61,8.8,284.26
15,31,driving-car,16.13,19.7,1042.88
15,32,driving-car,21.82,21.6,817.29
15,33,driving-car,18.71,22.7,870.66
